geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
FMWT 510	38.04888	38.04888	-121.88783	-121.88783
FMWT 512	38.05638	38.05638	-121.87722	-121.87722
FMWT 514	38.06389	38.06389	-121.844	-121.844
FMWT 515	38.092	38.092	-122.01472	-122.01472
FMWT 516	38.07867	38.07867	-121.99408	-121.99408
FMWT 519	38.07378	38.07378	-121.94725	-121.94725
FMWT 601	38.1031	38.1031	-122.0356	-122.0356
FMWT 605	38.14853	38.14853	-122.05738	-122.05738
FMWT 607	38.18381	38.18381	-121.967	-121.967
FMWT 608	38.0887	38.0887	-121.88332	-121.88332
FMWT 609	38.16771	38.16771	-121.9347	-121.9347
FMWT 701	38.06505	38.06505	-121.83475	-121.83475
FMWT 702	38.06111	38.06111	-121.814	-121.814
FMWT 705	38.07925	38.07925	-121.7618	-121.7618
FMWT 706	38.0903	38.0903	-121.74	-121.74
FMWT 709	38.14787	38.14787	-121.69048	-121.69048
FMWT 710	38.162	38.162	-121.68228	-121.68228
FMWT 735	38.33343	38.33343	-121.56968	-121.56968
FMWT 802	38.03528	38.03528	-121.83875	-121.83875
FMWT 803	38.02219	38.02219	-121.819	-121.819
FMWT 804	38.02308	38.02308	-121.79868	-121.79868
FMWT 808	38.03337	38.03337	-121.71942	-121.71942
FMWT 814	38.10128	38.10128	-121.6022	-121.6022
FMWT 904	38.07828	38.07828	-121.56847	-121.56847
FMWT 911	37.99247	37.99247	-121.40875	-121.40875
FMWT 914	37.94662	37.94662	-121.53475	-121.53475
FMWT 712	38.19042	38.19042	-121.64095	-121.64095
FMWT 713	38.20712	38.20712	-121.66008	-121.66008
FMWT 715	38.22295	38.22295	-121.67362	-121.67362
FMWT 716	38.23787	38.23787	-121.68438	-121.68438
FMWT 717	38.17017	38.17017	-121.63138	-121.63138
FMWT 719	38.33428	38.33428	-121.64733	-121.64733
FMWT 721	38.26815	38.26815	-121.70277	-121.70277
FMWT 723	38.23615	38.23615	-121.67348	-121.67348
FMWT 724	38.23578	38.23578	-121.55878	-121.55878
FMWT 806	38.02872	38.02872	-121.7617	-121.7617
FMWT 812	38.08792	38.08792	-121.64883	-121.64883
FMWT 906	38.05412	38.05412	-121.51653	-121.51653
FMWT 807	38.02995	38.02995	-121.73203	-121.73203
FMWT 809	38.0512	38.0512	-121.69305	-121.69305
FMWT 902	38.0205	38.0205	-121.58255	-121.58255
FMWT 915	37.949	37.949	-121.55908	-121.55908
FMWT 913	37.97012	37.97012	-121.53705	-121.53705
FMWT 910	38.00228	38.00228	-121.45037	-121.45037
FMWT 912	37.96883	37.96883	-121.37172	-121.37172
FMWT 909	38.02442	38.02442	-121.46705	-121.46705
FMWT 908	38.04308	38.04308	-121.5298	-121.5298
FMWT 736	38.36737	38.36737	-121.5214	-121.5214
FMWT 794	38.56118333	38.56118333	-121.55618	-121.55618
FMWT 795	38.5377	38.5377	-121.58468	-121.58468
FMWT 796	38.47387	38.47387	-121.5844	-121.5844
FMWT 797	38.40462	38.40462	-121.6156	-121.6156
FMWT 801	38.05561	38.05561	-121.847	-121.847
FMWT 805	38.02683	38.02683	-121.772	-121.772
FMWT 810	38.07083	38.07083	-121.67622	-121.67622
FMWT 811	38.09742	38.09742	-121.66487	-121.66487
FMWT 813	38.09978	38.09978	-121.62767	-121.62767
FMWT 815	38.0913	38.0913	-121.57587	-121.57587
FMWT 901	38.05669	38.05669	-121.667	-121.667
FMWT 903	38.10628	38.10628	-121.56747	-121.56747
FMWT 905	38.05953	38.05953	-121.55573	-121.55573
FMWT 907	38.0625	38.0625	-121.50056	-121.50056
FMWT 916	37.87919	37.87919	-121.575	-121.575
FMWT 917	37.87419	37.87419	-121.52331	-121.52331
FMWT 918	37.86111	37.86111	-121.56931	-121.56931
FMWT 919	38.10572	38.10572	-121.49525	-121.49525
FMWT 920	38.14138	38.14138	-121.50475	-121.50475
FMWT 921	38.16513	38.16513	-121.49303	-121.49303
FMWT 922	38.20438	38.20438	-121.4789	-121.4789
FMWT 923	38.13445	38.13445	-121.56625	-121.56625
FMWT 924	38.08914	38.08914	-121.53575	-121.53575
FMWT 925	38.14039	38.14039	-121.47947	-121.47947
FMWT 799	38.370767	38.370767	-121.63075	-121.63075
