geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
EDSM SPE108 2017-03-29	38.0350714	38.0350714	-122.2980603	-122.2980603
EDSM SPE110 2017-03-29	38.05914	38.05914	-122.28012	-122.28012
EDSM LNR103 2017-03-29	38.15159	38.15159	-122.29388	-122.29388
EDSM SBM108 2017-03-29	38.09565	38.09565	-122.03335	-122.03335
EDSM SM105 2017-03-29	38.12119	38.12119	-122.06807	-122.06807
EDSM LSJ109 2017-03-29	38.02388	38.02388	-121.70734	-121.70734
EDSM CQS104 2017-03-29	38.04299	38.04299	-122.16927	-122.16927
EDSM SJT117 2017-03-29	38.07393	38.07393	-121.67637	-121.67637
EDSM SJT120 2017-03-29	38.06044	38.06044	-121.68143	-121.68143
EDSM SJT118 2017-03-29	38.0927	38.0927	-121.64881	-121.64881
EDSM SJT121 2017-03-29	38.09349	38.09349	-121.66912	-121.66912
EDSM SJT119 2017-03-30	38.11023252	38.11023252	-121.6158134	-121.6158134
EDSM PP119 2017-03-30	38.09714	38.09714	-121.57566	-121.57566
EDSM SBW110 2017-03-30	38.04849	38.04849	-122.10873	-122.10873
EDSM 17-49-CQS01 2017-07-03	38.05845	38.05845	-122.23008	-122.23008
EDSM 17-49-PP01 2017-07-03	38.08629	38.08629	-121.57484	-121.57484
EDSM 17-49-FT01 2017-07-03	38.05672	38.05672	-121.62288	-121.62288
EDSM 17-49-CQS04 2017-07-03	38.05312	38.05312	-122.18585	-122.18585
EDSM 17-49-SRU01 2017-07-03	38.40383	38.40383	-121.51427	-121.51427
EDSM 17-49-CS01 2017-07-05	38.35117	38.35117	-121.64003	-121.64003
EDSM 17-49-SRU04 2017-07-03	38.27055	38.27055	-121.53453	-121.53453
EDSM 17-49-CS02 2017-07-05	38.2497	38.2497	-121.71133	-121.71133
EDSM 17-49-SJS01 2017-07-05	38.03152	38.03152	-121.47851	-121.47851
EDSM 17-49-SRR01 2017-07-03	38.24163	38.24163	-121.5151	-121.5151
EDSM 17-49-PP02 2017-07-05	38.04239	38.04239	-121.4923	-121.4923
EDSM 17-49-SPE03 2017-07-05	38.05493	38.05493	-122.32138	-122.32138
EDSM 17-49-SPE01 2017-07-05	38.04677	38.04677	-122.27161	-122.27161
EDSM 17-49-SSC01 2017-07-06	38.42445	38.42445	-121.60613	-121.60613
EDSM 17-49-SSC02 2017-07-06	38.38797	38.38797	-121.62307	-121.62307
EDSM 17-49-MKR01 2017-07-06	38.18366	38.18366	-121.48758	-121.48758
EDSM 17-49-SBM01 2017-07-06	38.10147	38.10147	-122.04022	-122.04022
EDSM 17-49-SBM02 2017-07-06	38.06933	38.06933	-121.97768	-121.97768
EDSM 17-49-MKR02 2017-07-06	38.11773	38.11773	-121.53976	-121.53976
EDSM 17-49-RV01 2017-07-07	38.17452	38.17452	-121.6707	-121.6707
EDSM 17-49-SJT01 2017-07-07	38.10771	38.10771	-121.61307	-121.61307
EDSM 17-49-RV02 2017-07-07	38.08858	38.08858	-121.68538	-121.68538
EDSM 17-49-SJT02 2017-07-07	38.05723	38.05723	-121.67135	-121.67135
EDSM 17-49-LSJ01 2017-07-07	38.01508	38.01508	-121.73181	-121.73181
EDSM 17-49-LSJ03 2017-07-07	38.04446	38.04446	-121.70674	-121.70674
EDSM 17-49-LSJ02 2017-07-07	38.05434	38.05434	-121.84623	-121.84623
EDSM 17-50-SRR01 2017-07-10	38.17113	38.17113	-121.58022	-121.58022
EDSM 17-50-SRU01 2017-07-10	38.28267	38.28267	-121.55022	-121.55022
EDSM 17-50-SJT02 2017-07-10	38.08804	38.08804	-121.68516	-121.68516
EDSM 17-50-SJT04 2017-07-10	38.07531	38.07531	-121.68104	-121.68104
EDSM 17-50-SJT01 2017-07-10	38.09762	38.09762	-121.62184	-121.62184
EDSM 17-50-SJT05 2017-07-10	38.09459	38.09459	-121.63002	-121.63002
EDSM 17-50-RV01 2017-07-11	38.09295	38.09295	-121.70676	-121.70676
EDSM 17-50-RV02 2017-07-11	38.10034	38.10034	-121.71695	-121.71695
EDSM 17-50-MKR01 2017-07-11	38.20242	38.20242	-121.45913	-121.45913
EDSM 17-50-CS01 2017-07-12	38.35039	38.35039	-121.64025	-121.64025
EDSM 17-50-CS02 2017-07-12	38.24807	38.24807	-121.6871	-121.6871
EDSM 17-50-SPE01 2017-07-12	38.06316	38.06316	-122.26299	-122.26299
EDSM 17-50-SPE03 2017-07-12	38.05004	38.05004	-122.28099	-122.28099
EDSM 17-50-DS01 2017-07-12	38.07763	38.07763	-121.46993	-121.46993
EDSM 17-50-SJS01 2017-07-12	38.03719	38.03719	-121.48575	-121.48575
EDSM 17-50-SSC01 2017-07-13	38.56086	38.56086	-121.56267	-121.56267
EDSM 17-50-SSC02 2017-07-13	38.44562	38.44562	-121.59631	-121.59631
EDSM 17-50-MKR02 2017-07-13	38.11784	38.11784	-121.58653	-121.58653
EDSM 17-50-PP01 2017-07-13	38.09458	38.09458	-121.58476	-121.58476
EDSM 17-50-MI01 2017-07-14	38.01218	38.01218	-121.51738	-121.51738
EDSM 17-51-MKR01 2017-07-18	38.0841	38.0841	-121.50268	-121.50268
EDSM 17-51-CQS01 2017-07-18	38.06765	38.06765	-122.23883	-122.23883
EDSM 17-51-SBW01 2017-07-17	38.0625	38.0625	-122.06044	-122.06044
EDSM 17-51-RV01 2017-07-18	38.17645	38.17645	-121.66733	-121.66733
EDSM 17-51-CQS02 2017-07-18	38.04676	38.04676	-122.17254	-122.17254
EDSM 17-51-SJS01 2017-07-18	38.01705	38.01705	-121.4625	-121.4625
EDSM 17-51-SSC01 2017-07-17	38.56193	38.56193	-121.55515	-121.55515
EDSM 17-51-RV02 2017-07-18	38.09955	38.09955	-121.72049	-121.72049
EDSM 17-51-PP01 2017-07-17	38.07565	38.07565	-121.5641	-121.5641
EDSM 17-51-SSC02 2017-07-17	38.43847	38.43847	-121.60007	-121.60007
EDSM 17-51-SBW02 2017-07-17	38.04639	38.04639	-122.10691	-122.10691
EDSM 17-51-SRR01 2017-07-19	38.19643	38.19643	-121.54707	-121.54707
EDSM 17-51-MKR03 2017-07-17	38.08506	38.08506	-121.54032	-121.54032
EDSM 17-51-SJT01 2017-07-19	38.08562	38.08562	-121.6799	-121.6799
EDSM 17-51-MKR02 2017-07-19	38.16166	38.16166	-121.53444	-121.53444
EDSM 17-51-MKR04 2017-07-19	38.1406	38.1406	-121.50526	-121.50526
EDSM 17-51-LSJ01 2017-07-19	38.03546	38.03546	-121.70461	-121.70461
EDSM 17-51-SRU01 2017-07-19	38.41092	38.41092	-121.51842	-121.51842
EDSM 17-51-LSJ02 2017-07-20	38.01756	38.01756	-121.78607	-121.78607
EDSM 17-51-LSJ03 2017-07-20	38.02812	38.02812	-121.75794	-121.75794
EDSM 17-51-CS01 2017-07-20	38.37716	38.37716	-121.62773	-121.62773
EDSM 17-51-CS02 2017-07-20	38.20441	38.20441	-121.65607	-121.65607
EDSM 17-51-SM01 2017-07-20	38.17776	38.17776	-122.00904	-122.00904
EDSM 17-51-SBM01 2017-07-20	38.10492	38.10492	-122.03777	-122.03777
EDSM 17-52-MI01 2017-07-24	37.99736	37.99736	-121.51949	-121.51949
EDSM 17-52-MI02 2017-07-24	37.99815	37.99815	-121.52485	-121.52485
EDSM 17-52-SJT01 2017-07-24	38.08868	38.08868	-121.62598	-121.62598
EDSM 17-52-SJT02 2017-07-24	38.08747	38.08747	-121.63695	-121.63695
EDSM 17-52-LSJ01 2017-07-25	38.02172	38.02172	-121.80132	-121.80132
EDSM 17-52-LSJ02 2017-07-25	38.02111	38.02111	-121.73278	-121.73278
EDSM 17-52-CQS01 2017-07-25	38.06351	38.06351	-122.2354	-122.2354
EDSM 17-52-CQS02 2017-07-25	38.06115	38.06115	-122.24183	-122.24183
EDSM 17-52-CQS03 2017-07-26	38.06101	38.06101	-122.24124	-122.24124
EDSM 17-52-LNR01 2017-07-26	38.13663	38.13663	-122.28179	-122.28179
EDSM 17-52-SPE01 2017-07-26	38.05241	38.05241	-122.29414	-122.29414
EDSM 17-52-HC02 2017-07-26	38.05132	38.05132	-121.58028	-121.58028
EDSM 17-52-FT02 2017-07-26	38.06111	38.06111	-121.60236	-121.60236
EDSM 17-52-MKR01 2017-07-27	38.15191	38.15191	-121.50371	-121.50371
EDSM 17-52-SRU01 2017-07-27	38.25548	38.25548	-121.51467	-121.51467
EDSM 17-52-CS01 2017-07-25	38.30739	38.30739	-121.73284	-121.73284
EDSM 17-52-SM01 2017-07-27	38.17173	38.17173	-121.92957	-121.92957
EDSM 17-52-MKR02 2017-07-27	38.12097	38.12097	-121.53048	-121.53048
EDSM 17-52-SBM01 2017-07-27	38.09884	38.09884	-122.0643	-122.0643
EDSM 17-52-SRU02 2017-07-27	38.4368	38.4368	-121.5083	-121.5083
EDSM 17-53-SRR01 2017-07-31	38.13018	38.13018	-121.58165	-121.58165
EDSM 17-53-SRU01 2017-07-31	38.28708	38.28708	-121.55591	-121.55591
EDSM 17-53-HB01 2017-07-31	38.05921	38.05921	-121.96842	-121.96842
EDSM 17-53-SJT01 2017-07-31	38.10319	38.10319	-121.60597	-121.60597
EDSM 17-53-SJT02 2017-07-31	38.09641	38.09641	-121.632	-121.632
EDSM 17-53-SPE01 2017-07-31	38.06156	38.06156	-122.32258	-122.32258
EDSM 18-01-SBM01 2017-08-01	38.06003	38.06003	-122.03454	-122.03454
EDSM 18-01-SBM02 2017-08-01	38.0648	38.0648	-121.97307	-121.97307
EDSM 18-01-SPE03 2017-08-01	38.05979	38.05979	-122.31892	-122.31892
EDSM 18-01-SPE05 2017-08-01	38.046	38.046	-122.28261	-122.28261
EDSM 18-01-SPE02 2017-08-01	38.04695	38.04695	-122.27389	-122.27389
EDSM 18-01-SSC01 2017-08-01	38.39673	38.39673	-121.62317	-121.62317
EDSM 18-01-SSC02 2017-08-01	38.40133	38.40133	-121.61668	-121.61668
EDSM 18-01-SSC03 2017-08-01	38.51252	38.51252	-121.58425	-121.58425
EDSM 18-01-LSJ01 2017-08-02	38.01741	38.01741	-121.78585	-121.78585
EDSM 18-01-LNR01 2017-08-02	38.1102	38.1102	-122.27307	-122.27307
EDSM 18-01-SBW01 2017-08-02	38.06784	38.06784	-122.08344	-122.08344
EDSM 18-01-CQS01 2017-08-02	38.03991	38.03991	-122.14946	-122.14946
EDSM 18-01-LSJ02 2017-08-02	38.02546	38.02546	-121.72146	-121.72146
EDSM 18-01-CS01 2017-08-02	38.28645	38.28645	-121.69252	-121.69252
EDSM 18-01-CS02 2017-08-02	38.26872	38.26872	-121.66873	-121.66873
EDSM 18-01-LSR01 2017-08-03	38.05073	38.05073	-121.87784	-121.87784
EDSM 18-01-SBM03 2017-08-03	38.10127	38.10127	-122.04351	-122.04351
EDSM 18-01-LSR02 2017-08-03	38.03291	38.03291	-121.76524	-121.76524
EDSM 18-01-SPE04 2017-08-03	38.06202	38.06202	-122.27019	-122.27019
EDSM 18-01-HB02 2017-08-03	38.06072	38.06072	-121.95072	-121.95072
EDSM 18-02-SRU02 2017-08-07	38.43603	38.43603	-121.50961	-121.50961
EDSM 18-02-SRU01 2017-08-07	38.25206	38.25206	-121.51195	-121.51195
EDSM 18-02-SSC01 2017-08-08	38.56102	38.56102	-121.54256	-121.54256
EDSM 18-02-SSC02 2017-08-08	38.49631	38.49631	-121.58437	-121.58437
EDSM 18-02-LSJ01 2017-08-08	38.02565	38.02565	-121.76556	-121.76556
EDSM 18-02-LSJ02 2017-08-08	38.04311	38.04311	-121.70583	-121.70583
EDSM 18-02-LSR01 2017-08-09	38.05897	38.05897	-121.84408	-121.84408
EDSM 18-02-LSJ03 2017-08-09	38.03337	38.03337	-121.82898	-121.82898
EDSM 18-02-RV01 2017-08-09	38.11654	38.11654	-121.69643	-121.69643
EDSM 18-02-SJT01 2017-08-09	38.08338	38.08338	-121.67744	-121.67744
EDSM 18-02-LSJ04 2017-08-09	38.02016	38.02016	-121.74831	-121.74831
EDSM 18-02-CS01 2017-08-10	38.33261	38.33261	-121.64721	-121.64721
EDSM 18-02-SBW02 2017-08-09	38.05038	38.05038	-122.12139	-122.12139
EDSM 18-02-LNR01 2017-08-10	38.18828	38.18828	-122.31273	-122.31273
EDSM 18-02-CS02 2017-08-10	38.25998	38.25998	-121.69456	-121.69456
EDSM 18-02-SPE01 2017-08-08	38.06423	38.06423	-122.32906	-122.32906
EDSM 18-02-SPE03 2017-08-08	38.04517	38.04517	-122.32742	-122.32742
EDSM 18-02-SBM01 2017-08-10	38.06224	38.06224	-122.03784	-122.03784
EDSM 18-02-SBW01 2017-08-09	38.05371	38.05371	-122.05834	-122.05834
EDSM 18-02-SPE06 2017-08-10	38.06121	38.06121	-122.29517	-122.29517
EDSM 18-02-SPE02 2017-08-08	38.06345	38.06345	-122.26649	-122.26649
EDSM 18-02-SBM02 2017-08-10	38.065	38.065	-122.0368	-122.0368
EDSM 18-02-SBM03 2017-08-11	38.06037	38.06037	-122.02974	-122.02974
EDSM 18-02-SBM04 2017-08-11	38.06729	38.06729	-121.96924	-121.96924
EDSM 18-03-SJT01 2017-08-14	38.11663	38.11663	-121.62809	-121.62809
EDSM 18-03-SJT03 2017-08-14	38.10597	38.10597	-121.60813	-121.60813
EDSM 18-03-LSJ01 2017-08-14	38.03649	38.03649	-121.70988	-121.70988
EDSM 18-03-SRR01 2017-08-14	38.13034	38.13034	-121.58045	-121.58045
EDSM 18-03-SRU01 2017-08-14	38.27926	38.27926	-121.54537	-121.54537
EDSM 18-03-SSC01 2017-08-15	38.56507	38.56507	-121.55181	-121.55181
EDSM 18-03-SSC02 2017-08-15	38.38922	38.38922	-121.62243	-121.62243
EDSM 18-03-SM01 2017-08-15	38.16724	38.16724	-121.93981	-121.93981
EDSM 18-03-LNR01 2017-08-14	38.08681	38.08681	-122.25125	-122.25125
EDSM 18-03-SBW01 2017-08-14	38.07861	38.07861	-122.09871	-122.09871
EDSM 18-03-SBW02 2017-08-14	38.08314	38.08314	-122.08221	-122.08221
EDSM 18-03-SPE04 2017-08-14	38.03631	38.03631	-122.32023	-122.32023
EDSM 18-03-SPE01 2017-08-14	38.05286	38.05286	-122.3059	-122.3059
EDSM 18-03-CS01 2017-08-16	38.26092	38.26092	-121.66543	-121.66543
EDSM 18-03-CS02 2017-08-16	38.24787	38.24787	-121.69552	-121.69552
EDSM 18-03-SM02 2017-08-16	38.13345	38.13345	-122.05863	-122.05863
EDSM 18-03-SBM01 2017-08-16	38.0589	38.0589	-122.00704	-122.00704
EDSM 18-03-HB01 2017-08-16	38.04797	38.04797	-121.89138	-121.89138
EDSM 18-03-SPE02 2017-08-15	38.06063	38.06063	-122.26877	-122.26877
EDSM 18-03-SPE03 2017-08-15	38.02638	38.02638	-122.29692	-122.29692
EDSM 18-03-SBW03 2017-08-17	38.03071	38.03071	-122.13941	-122.13941
EDSM 18-03-RV01 2017-08-17	38.0849	38.0849	-121.71066	-121.71066
EDSM 18-03-CQS02 2017-08-16	38.05642	38.05642	-122.1924	-122.1924
EDSM 18-03-CQS01 2017-08-16	38.04444	38.04444	-122.16935	-122.16935
EDSM 18-03-RV02 2017-08-17	38.1073	38.1073	-121.71364	-121.71364
EDSM 18-03-CQS05 2017-08-17	38.03879	38.03879	-122.15004	-122.15004
EDSM 18-03-LSJ02 2017-08-17	38.02688	38.02688	-121.83693	-121.83693
EDSM 18-03-SJT02 2017-08-17	38.08329	38.08329	-121.67764	-121.67764
EDSM 18-04-SJT01 2017-08-21	38.09213	38.09213	-121.62245	-121.62245
EDSM 18-04-SJT04 2017-08-21	38.10437	38.10437	-121.61244	-121.61244
EDSM 18-04-LSJ01 2017-08-21	38.04416	38.04416	-121.69616	-121.69616
EDSM 18-04-LSR03 2017-08-21	38.05366	38.05366	-121.86712	-121.86712
EDSM 18-04-LSR01 2017-08-21	38.05857	38.05857	-121.86838	-121.86838
EDSM 18-04-RV01 2017-08-21	38.16334	38.16334	-121.67635	-121.67635
EDSM 18-04-SSC01 2017-08-22	38.56112	38.56112	-121.54621	-121.54621
EDSM 18-04-SSC02 2017-08-22	38.39569	38.39569	-121.61882	-121.61882
EDSM 18-04-SBM01 2017-08-22	38.05597	38.05597	-122.04036	-122.04036
EDSM 18-04-SBM05 2017-08-22	38.08259	38.08259	-122.04039	-122.04039
EDSM 18-04-SBM02 2017-08-22	38.11064	38.11064	-122.05485	-122.05485
EDSM 18-04-SPE01 2017-08-22	38.05205	38.05205	-122.27093	-122.27093
EDSM 18-04-SPE03 2017-08-22	38.04964	38.04964	-122.26482	-122.26482
EDSM 18-04-SPE02 2017-08-22	38.0428	38.0428	-122.29389	-122.29389
EDSM 18-04-CQS01 2017-08-23	38.02606	38.02606	-122.14924	-122.14924
EDSM 18-04-CQS02 2017-08-23	38.02915	38.02915	-122.16422	-122.16422
EDSM 18-04-LSJ02 2017-08-23	38.03076	38.03076	-121.73685	-121.73685
EDSM 18-04-SPE04 2017-08-23	38.04405	38.04405	-122.31377	-122.31377
EDSM 18-04-LSJ03 2017-08-23	38.05	38.05	-121.84295	-121.84295
EDSM 18-04-SRR01 2017-08-23	38.17664	38.17664	-121.66099	-121.66099
EDSM 18-04-SRU01 2017-08-23	38.32568	38.32568	-121.58556	-121.58556
EDSM 18-04-SBM03 2017-08-24	38.06023	38.06023	-121.97149	-121.97149
EDSM 18-04-CS01 2017-08-24	38.36169	38.36169	-121.63492	-121.63492
EDSM 18-04-LNR01 2017-08-21	38.18092	38.18092	-122.30088	-122.30088
EDSM 18-04-CS02 2017-08-24	38.28273	38.28273	-121.71645	-121.71645
EDSM 18-04-LNR02 2017-08-21	38.10687	38.10687	-122.27065	-122.27065
EDSM 18-05-CQS01 2017-08-28	38.03619	38.03619	-122.17053	-122.17053
EDSM 18-05-LSR01 2017-08-28	38.07312	38.07312	-121.85665	-121.85665
EDSM 18-05-LSR02 2017-08-28	38.06754	38.06754	-121.84463	-121.84463
EDSM 18-05-RV01 2017-08-28	38.16394	38.16394	-121.67838	-121.67838
EDSM 18-05-CQS03 2017-08-28	38.04741	38.04741	-122.17813	-122.17813
EDSM 18-05-SPE01 2017-08-29	38.04006	38.04006	-122.27908	-122.27908
EDSM 18-05-SPE02 2017-08-29	38.03195	38.03195	-122.29126	-122.29126
EDSM 18-05-SBW01 2017-08-30	38.03701	38.03701	-122.12264	-122.12264
EDSM 18-05-SSC01 2017-08-30	38.39183	38.39183	-121.62109	-121.62109
EDSM 18-05-SSC02 2017-08-30	38.42618	38.42618	-121.60544	-121.60544
EDSM 18-05-LSJ01 2017-08-29	38.02714	38.02714	-121.69637	-121.69637
EDSM 18-05-SJT01 2017-08-29	38.06424	38.06424	-121.68197	-121.68197
EDSM 18-05-CQS02 2017-08-30	38.05792	38.05792	-122.23	-122.23
EDSM 18-05-CS01 2017-08-29	38.24382	38.24382	-121.69324	-121.69324
EDSM 18-05-CS02 2017-08-29	38.28536	38.28536	-121.71741	-121.71741
EDSM 18-05-SBW03 2017-08-30	38.0563	38.0563	-122.1187	-122.1187
EDSM 18-05-SM01 2017-08-28	38.16747	38.16747	-121.94334	-121.94334
EDSM 18-05-SPE03 2017-08-31	38.05027	38.05027	-122.30725	-122.30725
EDSM 18-05-SBM03 2017-08-30	38.09904	38.09904	-122.03512	-122.03512
EDSM 18-05-LSJ03 2017-08-31	38.03106	38.03106	-121.73581	-121.73581
EDSM 18-05-SBM02 2017-08-30	38.06639	38.06639	-122.01384	-122.01384
EDSM 18-05-SBM01 2017-08-28	38.05449	38.05449	-121.97403	-121.97403
EDSM 18-05-SRR01 2017-08-31	38.16434	38.16434	-121.60423	-121.60423
EDSM 18-05-SRU01 2017-08-31	38.51667	38.51667	-121.54014	-121.54014
EDSM 18-05-LSJ02 2017-08-31	38.0429	38.0429	-121.70955	-121.70955
EDSM 18-06-SPE01 2017-09-05	38.03694	38.03694	-122.30804	-122.30804
EDSM 18-06-SPE02 2017-09-06	38.05517	38.05517	-122.28868	-122.28868
EDSM 18-06-SM01 2017-09-05	38.16219	38.16219	-122.04564	-122.04564
EDSM 18-06-SRU01 2017-09-06	38.51715	38.51715	-121.53747	-121.53747
EDSM 18-06-HB01 2017-09-05	38.05422	38.05422	-121.9551	-121.9551
EDSM 18-06-SJT01 2017-09-06	38.08614	38.08614	-121.64625	-121.64625
EDSM 18-06-SRU02 2017-09-06	38.19336	38.19336	-121.62499	-121.62499
EDSM 18-06-LSJ01 2017-09-06	38.04377	38.04377	-121.70807	-121.70807
EDSM 18-06-SSC01 2017-09-05	38.56153	38.56153	-121.55345	-121.55345
EDSM 18-06-SSC02 2017-09-05	38.38618	38.38618	-121.62339	-121.62339
EDSM 18-06-SBW01 2017-09-07	38.09433	38.09433	-122.07031	-122.07031
EDSM 18-06-CQS01 2017-09-07	38.04143	38.04143	-122.16553	-122.16553
EDSM 18-06-CS01 2017-09-07	38.37402	38.37402	-121.62938	-121.62938
EDSM 18-06-SBW02 2017-09-07	38.06439	38.06439	-122.0939	-122.0939
EDSM 18-06-SBW03 2017-09-07	38.07209	38.07209	-122.08079	-122.08079
EDSM 18-06-CS02 2017-09-07	38.31318	38.31318	-121.69279	-121.69279
EDSM 18-06-SPE04 2017-09-06	38.06117	38.06117	-122.28994	-122.28994
EDSM 18-06-SBM01 2017-09-07	38.0625	38.0625	-122.00365	-122.00365
EDSM 18-06-SBM02 2017-09-07	38.09897	38.09897	-122.06764	-122.06764
EDSM 18-06-LSR01 2017-09-08	38.05752	38.05752	-121.87247	-121.87247
EDSM 18-06-RV01 2017-09-08	38.1125	38.1125	-121.69019	-121.69019
EDSM 18-06-SPE03 2017-09-08	38.03663	38.03663	-122.30499	-122.30499
EDSM 18-06-LSJ02 2017-09-08	38.05715	38.05715	-121.84529	-121.84529
EDSM 18-06-LSJ03 2017-09-08	38.01624	38.01624	-121.78715	-121.78715
EDSM 18-07-SPE01 2017-09-11	38.0627	38.0627	-122.32961	-122.32961
EDSM 18-07-SBM01 2017-09-11	38.06043	38.06043	-122.04561	-122.04561
EDSM 18-07-SBM02 2017-09-11	38.09458	38.09458	-122.05827	-122.05827
EDSM 18-07-SPE05 2017-09-11	38.04402	38.04402	-122.32296	-122.32296
EDSM 18-07-SPE02 2017-09-11	38.03641	38.03641	-122.31352	-122.31352
EDSM 18-07-CS01 2017-09-11	38.33907	38.33907	-121.64572	-121.64572
EDSM 18-07-CS02 2017-09-11	38.25232	38.25232	-121.66829	-121.66829
EDSM 18-07-CQS02 2017-09-12	38.05875	38.05875	-122.23852	-122.23852
EDSM 18-07-CQS01 2017-09-12	38.06076	38.06076	-122.1902	-122.1902
EDSM 18-07-HB01 2017-09-12	38.05591	38.05591	-121.95973	-121.95973
EDSM 18-07-SBM03 2017-09-12	38.07182	38.07182	-122.01657	-122.01657
EDSM 18-07-SSC01 2017-09-12	38.55621	38.55621	-121.57453	-121.57453
EDSM 18-07-SPE03 2017-09-12	38.06655	38.06655	-122.26841	-122.26841
EDSM 18-07-SBW01 2017-09-12	38.051	38.051	-122.08778	-122.08778
EDSM 18-07-SSC02 2017-09-12	38.39133	38.39133	-121.62122	-121.62122
EDSM 18-07-SJT01 2017-09-13	38.10266	38.10266	-121.6269	-121.6269
EDSM 18-07-RV01 2017-09-13	38.15683	38.15683	-121.68381	-121.68381
EDSM 18-07-SJT02 2017-09-13	38.0497	38.0497	-121.69169	-121.69169
EDSM 18-07-LSR01 2017-09-13	38.06302	38.06302	-121.86713	-121.86713
EDSM 18-07-SBW02 2017-09-13	38.08845	38.08845	-122.06762	-122.06762
EDSM 18-07-LSJ01 2017-09-14	38.02316	38.02316	-121.77271	-121.77271
EDSM 18-07-SPE04 2017-09-14	38.04781	38.04781	-122.30086	-122.30086
EDSM 18-07-LSJ02 2017-09-14	38.03445	38.03445	-121.84977	-121.84977
EDSM 18-07-SRU01 2017-09-14	38.19792	38.19792	-121.61336	-121.61336
EDSM 18-07-SRU02 2017-09-14	38.3143	38.3143	-121.57743	-121.57743
EDSM 18-08-LSR01 2017-09-18	38.06795	38.06795	-121.85263	-121.85263
EDSM 18-08-LSR02 2017-09-18	38.05451	38.05451	-121.86867	-121.86867
EDSM 18-08-LSJ01 2017-09-18	38.03607	38.03607	-121.8503	-121.8503
EDSM 18-08-LSJ02 2017-09-18	38.02407	38.02407	-121.78677	-121.78677
EDSM 18-08-LNR02 2017-09-18	38.13227	38.13227	-122.28279	-122.28279
EDSM 18-08-LNR01 2017-09-18	38.18706	38.18706	-122.31279	-122.31279
EDSM 18-08-SSC01 2017-09-19	38.53372	38.53372	-121.58414	-121.58414
EDSM 18-08-SSC02 2017-09-19	38.49037	38.49037	-121.5846	-121.5846
EDSM 18-08-PP01 2017-09-19	38.08855	38.08855	-121.57436	-121.57436
EDSM 18-08-PP02 2017-09-19	38.0872	38.0872	-121.57558	-121.57558
EDSM 18-08-SBW04 2017-09-19	38.05412	38.05412	-122.09403	-122.09403
EDSM 18-08-SBW01 2017-09-19	38.04381	38.04381	-122.10452	-122.10452
EDSM 18-08-SRR01 2017-09-20	38.17253	38.17253	-121.63683	-121.63683
EDSM 18-08-LSJ03 2017-09-20	38.04316	38.04316	-121.71422	-121.71422
EDSM 18-08-SJT01 2017-09-20	38.09416	38.09416	-121.62362	-121.62362
EDSM 18-08-SM01 2017-09-20	38.16497	38.16497	-122.04355	-122.04355
EDSM 18-08-SRU01 2017-09-20	38.53515	38.53515	-121.51902	-121.51902
EDSM 18-08-SBM01 2017-09-20	38.09799	38.09799	-122.05107	-122.05107
EDSM 18-08-MKR02 2017-09-22	38.12028	38.12028	-121.53053	-121.53053
EDSM 18-08-CS01 2017-09-22	38.19611	38.19611	-121.65613	-121.65613
EDSM 18-08-CS02 2017-09-22	38.31406	38.31406	-121.69285	-121.69285
EDSM 18-08-MKR01 2017-09-22	38.14433	38.14433	-121.50717	-121.50717
EDSM 18-08-SBM02 2017-09-22	38.0573	38.0573	-121.97343	-121.97343
EDSM 18-08-SM02 2017-09-22	38.07343	38.07343	-121.87935	-121.87935
EDSM 18-09-SSC01 2017-09-25	38.5612	38.5612	-121.54194	-121.54194
EDSM 18-09-SSC02 2017-09-25	38.38487	38.38487	-121.62469	-121.62469
EDSM 18-09-SBW01 2017-09-25	38.07405	38.07405	-122.10397	-122.10397
EDSM 18-09-SBW03 2017-09-25	38.07631	38.07631	-122.08208	-122.08208
EDSM 18-09-SJT01 2017-09-25	38.09982	38.09982	-121.61658	-121.61658
EDSM 18-09-SJT02 2017-09-25	38.06596	38.06596	-121.67715	-121.67715
EDSM 18-09-SPE01 2017-09-25	38.06598	38.06598	-122.32473	-122.32473
EDSM 18-09-LSJ01 2017-09-26	38.02951	38.02951	-121.84809	-121.84809
EDSM 18-09-LSJ02 2017-09-26	38.02063	38.02063	-121.74538	-121.74538
EDSM 18-09-CS01 2017-09-26	38.29544	38.29544	-121.72733	-121.72733
EDSM 18-09-CS02 2017-09-26	38.24872	38.24872	-121.71125	-121.71125
EDSM 18-09-SPE02 2017-09-26	38.05416	38.05416	-122.2759	-122.2759
EDSM 18-09-SBM01 2017-09-27	38.07162	38.07162	-121.985	-121.985
EDSM 18-09-SPE05 2017-09-26	38.0541	38.0541	-122.2976	-122.2976
EDSM 18-09-HB01 2017-09-27	38.06032	38.06032	-121.96142	-121.96142
EDSM 18-09-MKR01 2017-09-27	38.14563	38.14563	-121.55423	-121.55423
EDSM 18-09-SRR01 2017-09-27	38.18198	38.18198	-121.58705	-121.58705
EDSM 18-09-SRU01 2017-09-27	38.29978	38.29978	-121.56824	-121.56824
EDSM 18-09-MKR03 2017-09-27	38.12921	38.12921	-121.50177	-121.50177
EDSM 18-09-HC01 2017-09-29	38.01895	38.01895	-121.57689	-121.57689
